DATE_REPORTED,COUNTRY_CODE,COUNTRY,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,TOTAL_VACCINATIONS,PEOPLE_VACCINATED,PEOPLE_FULLY_VACCINATED,TOTAL_BOOSTERS,DAILY_VACCINATIONS,TOTAL_VACCINATIONS_PER_HUNDRED,PEOPLE_VACCINATED_PER_HUNDRED,PEOPLE_FULLY_VACCINATED_PER_HUNDRED,TOTAL_BOOSTERS_PER_HUNDRED,DAILY_VACCINATIONS_PER_MILLION,DAILY_PEOPLE_VACCINATED,DAILY_PEOPLE_VACCINATED_PER_HUNDRED
24.01.2020,FR,France,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.01.2020,FR,France,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.01.2020,FR,France,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.01.2020,FR,France,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.01.2020,FR,France,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.01.2020,FR,France,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.01.2020,FR,France,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.01.2020,FR,France,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.02.2020,FR,France,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.02.2020,FR,France,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03.02.2020,FR,France,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.02.2020,FR,France,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05.02.2020,FR,France,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06.02.2020,FR,France,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07.02.2020,FR,France,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08.02.2020,FR,France,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.02.2020,FR,France,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.02.2020,FR,France,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.02.2020,FR,France,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.02.2020,FR,France,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.02.2020,FR,France,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.02.2020,FR,France,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.02.2020,FR,France,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16.02.2020,FR,France,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.02.2020,FR,France,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25.02.2020,FR,France,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26.02.2020,FR,France,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27.02.2020,FR,France,3,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0
28.02.2020,FR,France,21,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0
29.02.2020,FR,France,19,57,0,2,0,0,0,0,0,0,0,0,0,0,0,0
01.03.2020,FR,France,43,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0
02.03.2020,FR,France,23,123,0,2,0,0,0,0,0,0,0,0,0,0,0,0
03.03.2020,FR,France,48,171,1,3,0,0,0,0,0,0,0,0,0,0,0,0
04.03.2020,FR,France,34,205,1,4,0,0,0,0,0,0,0,0,0,0,0,0
05.03.2020,FR,France,73,278,0,4,0,0,0,0,0,0,0,0,0,0,0,0
06.03.2020,FR,France,138,416,3,7,0,0,0,0,0,0,0,0,0,0,0,0
07.03.2020,FR,France,179,595,2,9,0,0,0,0,0,0,0,0,0,0,0,0
08.03.2020,FR,France,103,698,1,10,0,0,0,0,0,0,0,0,0,0,0,0
09.03.2020,FR,France,410,1108,9,19,0,0,0,0,0,0,0,0,0,0,0,0
10.03.2020,FR,France,286,1394,11,30,0,0,0,0,0,0,0,0,0,0,0,0
11.03.2020,FR,France,371,1765,3,33,0,0,0,0,0,0,0,0,0,0,0,0
12.03.2020,FR,France,497,2262,15,48,0,0,0,0,0,0,0,0,0,0,0,0
13.03.2020,FR,France,586,2848,13,61,0,0,0,0,0,0,0,0,0,0,0,0
14.03.2020,FR,France,770,3618,18,79,0,0,0,0,0,0,0,0,0,0,0,0
15.03.2020,FR,France,818,4436,12,91,0,0,0,0,0,0,0,0,0,0,0,0
