DATE_REPORTED,COUNTRY_CODE,COUNTRY,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,TOTAL_VACCINATIONS,PEOPLE_VACCINATED,PEOPLE_FULLY_VACCINATED,TOTAL_BOOSTERS,DAILY_VACCINATIONS,TOTAL_VACCINATIONS_PER_HUNDRED,PEOPLE_VACCINATED_PER_HUNDRED,PEOPLE_FULLY_VACCINATED_PER_HUNDRED,TOTAL_BOOSTERS_PER_HUNDRED,DAILY_VACCINATIONS_PER_MILLION,DAILY_PEOPLE_VACCINATED,DAILY_PEOPLE_VACCINATED_PER_HUNDRED
31.01.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.02.2020,NO,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.02.2020,NO,Norway,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.02.2020,NO,Norway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.02.2020,NO,Norway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.02.2020,NO,Norway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.02.2020,NO,Norway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.02.2020,NO,Norway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.02.2020,NO,Norway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.02.2020,NO,Norway,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.02.2020,NO,Norway,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.02.2020,NO,Norway,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.03.2020,NO,Norway,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.03.2020,NO,Norway,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03.03.2020,NO,Norway,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.03.2020,NO,Norway,31,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05.03.2020,NO,Norway,33,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06.03.2020,NO,Norway,33,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07.03.2020,NO,Norway,24,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08.03.2020,NO,Norway,19,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.03.2020,NO,Norway,65,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.03.2020,NO,Norway,247,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.03.2020,NO,Norway,241,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.03.2020,NO,Norway,175,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.03.2020,NO,Norway,206,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.03.2020,NO,Norway,147,1264,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15.03.2020,NO,Norway,100,1364,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.03.2020,NO,Norway,99,1463,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.03.2020,NO,Norway,180,1643,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.03.2020,NO,Norway,176,1819,2,3,0,0,0,0,0,0,0,0,0,0,0,0
19.03.2020,NO,Norway,213,2032,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,NO,Norway,239,2271,0,3,0,0,0,0,0,0,0,0,0,0,0,0
21.03.2020,NO,Norway,308,2579,3,6,0,0,0,0,0,0,0,0,0,0,0,0
22.03.2020,NO,Norway,174,2753,1,7,0,0,0,0,0,0,0,0,0,0,0,0
23.03.2020,NO,Norway,148,2901,0,7,0,0,0,0,0,0,0,0,0,0,0,0
24.03.2020,NO,Norway,296,3197,0,7,0,0,0,0,0,0,0,0,0,0,0,0
25.03.2020,NO,Norway,313,3510,1,8,0,0,0,0,0,0,0,0,0,0,0,0
26.03.2020,NO,Norway,292,3802,2,10,0,0,0,0,0,0,0,0,0,0,0,0
27.03.2020,NO,Norway,298,4100,2,12,0,0,0,0,0,0,0,0,0,0,0,0
28.03.2020,NO,Norway,262,4362,2,14,0,0,0,0,0,0,0,0,0,0,0,0
29.03.2020,NO,Norway,166,4528,2,16,0,0,0,0,0,0,0,0,0,0,0,0
30.03.2020,NO,Norway,106,4634,4,20,0,0,0,0,0,0,0,0,0,0,0,0
31.03.2020,NO,Norway,264,4898,2,22,0,0,0,0,0,0,0,0,0,0,0,0
01.04.2020,NO,Norway,208,5106,4,26,0,0,0,0,0,0,0,0,0,0,0,0
02.04.2020,NO,Norway,198,5304,2,28,0,0,0,0,0,0,0,0,0,0,0,0
03.04.2020,NO,Norway,198,5502,4,32,0,0,0,0,0,0,0,0,0,0,0,0
04.04.2020,NO,Norway,164,5666,10,42,0,0,0,0,0,0,0,0,0,0,0,0
05.04.2020,NO,Norway,88,5754,2,44,0,0,0,0,0,0,0,0,0,0,0,0
06.04.2020,NO,Norway,72,5826,6,50,0,0,0,0,0,0,0,0,0,0,0,0
07.04.2020,NO,Norway,159,5985,8,58,0,0,0,0,0,0,0,0,0,0,0,0
08.04.2020,NO,Norway,140,6125,1,59,0,0,0,0,0,0,0,0,0,0,0,0
09.04.2020,NO,Norway,106,6231,10,69,0,0,0,0,0,0,0,0,0,0,0,0
10.04.2020,NO,Norway,103,6334,11,80,0,0,0,0,0,0,0,0,0,0,0,0
11.04.2020,NO,Norway,68,6402,8,88,0,0,0,0,0,0,0,0,0,0,0,0
12.04.2020,NO,Norway,110,6512,4,92,0,0,0,0,0,0,0,0,0,0,0,0
